Timestamp,Region,Intensity Forecast,Intensity Index,Fuel,Fuel Percentage
2025-04-07 13:45:08,North Scotland,169,moderate,wind,19.3
2025-04-07 13:45:08,South Scotland,23,very low,biomass,10
2025-04-07 13:45:08,South Scotland,23,very low,coal,0
2025-04-07 13:45:08,South Scotland,23,very low,imports,11.9
2025-04-07 13:45:08,South Scotland,23,very low,gas,2.7
2025-04-07 13:45:08,South Scotland,23,very low,nuclear,47.3
2025-04-07 13:45:08,South Scotland,23,very low,other,0
2025-04-07 13:45:08,South Scotland,23,very low,hydro,0
2025-04-07 13:45:08,South Scotland,23,very low,solar,23.3
2025-04-07 13:45:08,South Scotland,23,very low,wind,4.8
2025-04-07 13:45:08,North West England,73,low,biomass,13.4
2025-04-07 13:45:08,North West England,73,low,coal,0
2025-04-07 13:45:08,North West England,73,low,imports,7.2
2025-04-07 13:45:08,North West England,73,low,gas,14.4
2025-04-07 13:45:08,North West England,73,low,nuclear,48.6
2025-04-07 13:45:08,North West England,73,low,other,0
2025-04-07 13:45:08,North West England,73,low,hydro,0
2025-04-07 13:45:08,North West England,73,low,solar,12.5
2025-04-07 13:45:08,North West England,73,low,wind,3.9
2025-04-07 13:45:08,North East England,31,low,biomass,18.1
2025-04-07 13:45:08,North East England,31,low,coal,0
2025-04-07 13:45:08,North East England,31,low,imports,37.6
2025-04-07 13:45:08,North East England,31,low,gas,2.1
2025-04-07 13:45:08,North East England,31,low,nuclear,25.6
2025-04-07 13:45:08,North East England,31,low,other,0
2025-04-07 13:45:08,North East England,31,low,hydro,0
2025-04-07 13:45:08,North East England,31,low,solar,14.5
2025-04-07 13:45:08,North East England,31,low,wind,1.9
2025-04-07 13:45:08,Yorkshire,160,moderate,biomass,52.7
2025-04-07 13:45:08,Yorkshire,160,moderate,coal,0
2025-04-07 13:45:08,Yorkshire,160,moderate,imports,0.7
2025-04-07 13:45:08,Yorkshire,160,moderate,gas,24
2025-04-07 13:45:08,Yorkshire,160,moderate,nuclear,0.4
2025-04-07 13:45:08,Yorkshire,160,moderate,other,0
2025-04-07 13:45:08,Yorkshire,160,moderate,hydro,0
2025-04-07 13:45:08,Yorkshire,160,moderate,solar,18.8
2025-04-07 13:45:08,Yorkshire,160,moderate,wind,3.3
2025-04-07 13:45:08,North Wales & Merseyside,45,low,biomass,3.3
2025-04-07 13:45:08,North Wales & Merseyside,45,low,coal,0
2025-04-07 13:45:08,North Wales & Merseyside,45,low,imports,3.1
2025-04-07 13:45:08,North Wales & Merseyside,45,low,gas,10
2025-04-07 13:45:08,North Wales & Merseyside,45,low,nuclear,12.6
2025-04-07 13:45:08,North Wales & Merseyside,45,low,other,0
2025-04-07 13:45:08,North Wales & Merseyside,45,low,hydro,0
2025-04-07 13:45:08,North Wales & Merseyside,45,low,solar,53.9
2025-04-07 13:45:08,North Wales & Merseyside,45,low,wind,17.1
2025-04-07 13:45:08,South Wales,222,high,biomass,0
2025-04-07 13:45:08,South Wales,222,high,coal,0
2025-04-07 13:45:08,South Wales,222,high,imports,0
2025-04-07 13:45:08,South Wales,222,high,gas,56.4
2025-04-07 13:45:08,South Wales,222,high,nuclear,0
2025-04-07 13:45:08,South Wales,222,high,other,0
2025-04-07 13:45:08,South Wales,222,high,hydro,0
2025-04-07 13:45:08,South Wales,222,high,solar,39.9
2025-04-07 13:45:08,South Wales,222,high,wind,3.7
2025-04-07 13:45:08,West Midlands,121,moderate,biomass,0.9
2025-04-07 13:45:08,West Midlands,121,moderate,coal,0
2025-04-07 13:45:08,West Midlands,121,moderate,imports,15.2
2025-04-07 13:45:08,West Midlands,121,moderate,gas,26.4
2025-04-07 13:45:08,West Midlands,121,moderate,nuclear,5.6
2025-04-07 13:45:08,West Midlands,121,moderate,other,0
2025-04-07 13:45:08,West Midlands,121,moderate,hydro,0
2025-04-07 13:45:08,West Midlands,121,moderate,solar,49.3
2025-04-07 13:45:08,West Midlands,121,moderate,wind,2.5
2025-04-07 13:45:08,East Midlands,169,moderate,biomass,0
2025-04-07 13:45:08,East Midlands,169,moderate,coal,0
2025-04-07 13:45:08,East Midlands,169,moderate,imports,7.3
2025-04-07 13:45:08,East Midlands,169,moderate,gas,37.6
2025-04-07 13:45:08,East Midlands,169,moderate,nuclear,5.1
2025-04-07 13:45:08,East Midlands,169,moderate,other,0
2025-04-07 13:45:08,East Midlands,169,moderate,hydro,0
2025-04-07 13:45:08,East Midlands,169,moderate,solar,46.3
2025-04-07 13:45:08,East Midlands,169,moderate,wind,3.6
2025-04-07 13:45:08,East England,134,moderate,biomass,0
2025-04-07 13:45:08,East England,134,moderate,coal,0
2025-04-07 13:45:08,East England,134,moderate,imports,20.9
